id,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,1815,8149711159,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8146611147,0,8507,,,1,3,3,3,,0,0,0,0,0
0,1815,8119711168,0,8507,,,419,0,3,0.43,0.58,0,0,0,0,0
0,1815,8152111175,0,8532,,,1,59,59,59,,0,0,0,0,0
0,1815,8140311161,0,8507,,,114,0,59,7.72,12.55,0,0,0,0,0
0,1815,8157911159,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8139011166,0,8507,,,3,0,38,12.67,21.94,0,0,0,0,0
0,1815,8124011165,0,8507,,,2,0,0,0,0,0,0,0,0,0
0,1815,8151711173,0,8507,,,22,0,100,50.59,41.9,0,0,0,0,35
0,1815,8153911181,0,8532,,,1,5,5,5,,0,0,0,0,0
0,1815,8131511169,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8147211179,0,8507,,,20,0,59.6,13.94,17.25,0,0,0,0,10.2
0,1815,8115811176,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8141411190,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8115911166,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8137111157,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8156511172,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8147011146,0,8507,,,2664,0,11.69,0.1,0.48,0,0,0,0,0
0,1815,8111911162,0,8507,,,4,0,1,0.25,0.5,0,0,0,0,0
0,1815,8130611189,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8116511167,0,8532,,,136,0,14,0.1,1.2,0,0,0,0,0
0,1815,8151611156,0,8507,,,15,0,237,50.4,69.42,0,0,0,0,0
0,1815,8130811167,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8141811165,0,8507,,,921,0,78,0.49,4.79,0,0,0,0,0
0,1815,8145811164,0,8532,,,502,0,100,2.63,12.59,0,0,0,0,0
0,1815,8135411161,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8139911177,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8159911172,0,8507,,,990444,0,138.84,0.04,0.73,0,0,0,0,0
0,1815,8136711149,0,8507,,,819,0,846737,9852.63,57100.59,0,0,0,0,0
0,1815,8125911170,0,8532,,,87,0,8369593,96557.68,897279.62,0,0,0,0,0
0,1815,8132211149,0,8507,,,20,0,26,3.6,7.45,0,0,0,0,0
0,1815,8134911156,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8146511163,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8115311180,0,8507,,,2,0,0,0,0,0,0,0,0,0
0,1815,8128211156,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8156411145,0,8507,,,143,0,37,0.35,3.18,0,0,0,0,0
0,1815,8153611176,0,8507,,,412,0,512,2.7,26.31,0,0,0,0,0
0,1815,8154311157,0,8507,,,289,0,2.25,0.02,0.18,0,0,0,0,0
0,1815,8141211170,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8160011151,0,8507,,,2,25,28,26.5,2.12,0,0,0,0,0
0,1815,8124911160,0,8507,,,1,23,23,23,,0,0,0,0,0
0,1815,8159311162,0,8507,,,95,0,75,5.63,14.1,0,0,0,0,0
0,1815,8134311167,0,8532,,,571,0,93,0.42,5.48,0,0,0,0,0
0,1815,8150911147,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8142111163,0,8532,,,2,0,0,0,0,0,0,0,0,0
0,1815,8132911173,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8116611172,0,8507,,,2425,0,100,6.51,17.46,0,0,0,0,0
0,1815,8138711185,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8120211187,0,8532,,,8,0,0,0,0,0,0,0,0,0
0,1815,8152111175,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8151511152,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8143411153,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8146611147,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8145611173,0,8507,,,216,0,614,5.86,47.87,0,0,0,0,0
0,1815,8129111138,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8149411167,0,8507,,,289,0,0.31,0.01,0.03,0,0,0,0,0
0,1815,8129211170,0,8507,,,4,0,0,0,0,0,0,0,0,0
0,1815,8144711164,0,8532,,,8,0,0,0,0,0,0,0,0,0
0,1815,8159711209,0,8532,,,29022,0,378443,968.22,5400.56,0,0,0,0,0
0,1815,8149111166,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8153711174,0,8507,,,1,0,0,0,,0,0,0,0,0
0,1815,8150311186,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,8123511165,0,8532,,,1,2,2,2,,0,0,0,0,0
0,1815,8133011139,0,8507,,,4,0,0,0,0,0,0,0,0,0
0,1815,8111311133,0,8532,,,30,0,11,0.56,2.06,0,0,0,0,0
0,1815,8159411150,0,8532,,,3,30,37,34.67,4.04,0,0,0,0,0
0,1815,8158611152,0,8507,,,210,0,16,0.23,1.55,0,0,0,0,0
